num_keys,batch_size,max_buffering_duration_secs,max_concurrent_sends,send_sleep_secs,max_requests_in_window,avg_requests_in_window,throughput,total_delivered,total_batches,pending_messages,constraint_violated
1,20,0.5,1,0.0,11,6.7,61.3,1840,92,118140,False
1,20,0.5,1,0.3,6,4.1,37.3,1120,56,118860,False
1,20,0.5,1,0.5,5,3.1,28.0,840,42,119140,False
1,20,0.5,1,0.8,4,2.4,21.3,640,32,119340,False
1,20,0.5,1,1.0,3,2.0,18.0,540,27,119440,False
1,20,0.5,1,1.5,2,1.5,13.3,400,20,119580,False
2,20,0.5,1,0.0,11,6.7,61.3,1840,92,118140,False
2,20,0.5,1,0.3,6,4.1,37.3,1120,56,118860,False
2,20,0.5,1,0.5,5,3.1,28.0,840,42,119140,False
2,20,0.5,1,0.8,4,2.4,21.3,640,32,119340,False
2,20,0.5,1,1.0,3,2.0,18.0,540,27,119440,False
2,20,0.5,1,1.5,2,1.5,13.3,400,20,119580,False
3,20,0.5,1,0.0,10,5.7,52.7,1580,79,118400,False
3,20,0.5,1,0.3,6,3.8,34.7,1040,52,118940,False
3,20,0.5,1,0.5,5,3.1,28.0,840,42,119140,False
3,20,0.5,1,0.8,4,2.4,21.3,640,32,119340,False
3,20,0.5,1,1.0,3,2.1,18.7,560,28,119420,False
3,20,0.5,1,1.5,2,1.5,13.3,400,20,119580,False
5,20,0.5,1,0.0,11,6.4,58.0,1740,87,118240,False
5,20,0.5,1,0.3,6,4.0,35.3,1060,53,118920,False
5,20,0.5,1,0.5,5,3.1,28.0,840,42,119140,False
5,20,0.5,1,0.8,3,2.3,20.7,620,31,119360,False
5,20,0.5,1,1.0,3,2.0,18.0,540,27,119440,False
5,20,0.5,1,1.5,2,1.5,13.3,400,20,119580,False
10,20,0.5,1,0.0,11,6.4,58.0,1740,87,118240,False
10,20,0.5,1,0.3,6,4.0,35.3,1060,53,118920,False
10,20,0.5,1,0.5,5,3.1,28.0,840,42,119140,False
10,20,0.5,1,0.8,3,2.3,20.7,620,31,119360,False
